comparison_id	method	fg_combination_id	fg_combination_occurrence	bg_strategy	fg_species	bg_species
020	rerconverge	FG008	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
021	rerconverge	FG031	1	fixed_complete_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
022	rerconverge	FG009	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
023	rerconverge	FG023	1	fixed_complete_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
024	rerconverge	FG030	1	fixed_complete_BG_pool	Ateles_geoffroyi,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
025	rerconverge	FG035	1	fixed_complete_BG_pool	Eulemur_fulvus,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
026	rerconverge	FG026	1	fixed_complete_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
027	rerconverge	FG007	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
028	rerconverge	FG016	1	fixed_complete_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
029	rerconverge	FG013	1	fixed_complete_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
030	rerconverge	FG034	1	fixed_complete_BG_pool	Cercocebus_torquatus,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
031	rerconverge	FG006	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
032	rerconverge	FG002	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
033	rerconverge	FG029	1	fixed_complete_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
034	rerconverge	FG003	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
035	rerconverge	FG027	1	fixed_complete_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
